Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt6966692,2019-02-28,2019-02-28,Original Screenplay,Green Book,https://www.imdb.com/title/tt6966692/,movie,8.2,130,2018,"Biography, Comedy, Drama, Music",486565,2018-09-11,Peter Farrelly
2,tt7349662,2019-02-28,2019-02-28,Adapted Screenplay,BlacKkKlansman,https://www.imdb.com/title/tt7349662/,movie,7.5,135,2018,"Biography, Comedy, Crime, Drama",263595,2018-05-14,Spike Lee
3,tt5052448,2018-03-05,2018-03-05,Original Screenplay,Get Out,https://www.imdb.com/title/tt5052448/,movie,7.7,104,2017,"Horror, Mystery, Thriller",603070,2017-01-23,Jordan Peele
4,tt5726616,2018-03-05,2018-03-05,Adapted Screenplay,Call Me by Your Name,https://www.imdb.com/title/tt5726616/,movie,7.8,132,2017,"Drama, Romance",271297,2017-01-22,Luca Guadagnino
5,tt4034228,2017-02-27,2017-02-27,Original Screenplay,Manchester by the Sea,https://www.imdb.com/title/tt4034228/,movie,7.8,137,2016,Drama,281863,2016-01-23,Kenneth Lonergan
6,tt4975722,2017-02-27,2017-02-27,Adapted Screenplay,Moonlight,https://www.imdb.com/title/tt4975722/,movie,7.4,111,2016,Drama,307808,2016-09-02,Barry Jenkins
7,tt1895587,2016-09-14,2016-09-14,Original Screenplay,Spotlight,https://www.imdb.com/title/tt1895587/,movie,8.1,129,2015,"Biography, Crime, Drama",468859,2015-09-03,Tom McCarthy
8,tt1596363,2016-09-14,2016-09-14,Adapted Screenplay,The Big Short,https://www.imdb.com/title/tt1596363/,movie,7.8,130,2015,"Biography, Comedy, Drama, History",429863,2015-11-12,Adam McKay
9,tt2562232,2016-09-14,2016-09-14,Original Screenplay,Birdman or (The Unexpected Virtue of Ignorance),https://www.imdb.com/title/tt2562232/,movie,7.7,119,2014,"Comedy, Drama",628801,2014-08-27,Alejandro G. Iñárritu
10,tt2084970,2016-09-14,2016-09-14,Adapted Screenplay,The Imitation Game,https://www.imdb.com/title/tt2084970/,movie,8.0,114,2014,"Biography, Drama, Thriller, War",766252,2014-08-29,Morten Tyldum
11,tt1798709,2016-09-14,2016-09-14,Original Screenplay,Her,https://www.imdb.com/title/tt1798709/,movie,8.0,126,2013,"Drama, Romance, Sci-Fi",610447,2013-10-12,Spike Jonze
12,tt2024544,2016-09-14,2016-09-14,Adapted Screenplay,12 Years a Slave,https://www.imdb.com/title/tt2024544/,movie,8.1,134,2013,"Biography, Drama, History",698930,2013-08-30,Steve McQueen
13,tt1853728,2016-09-14,2016-09-14,Original Screenplay,Django Unchained,https://www.imdb.com/title/tt1853728/,movie,8.4,165,2012,"Drama, Western",1540008,2012-12-11,Quentin Tarantino
14,tt1024648,2016-09-14,2016-09-14,Adapted Screenplay,Argo,https://www.imdb.com/title/tt1024648/,movie,7.7,120,2012,"Biography, Drama, Thriller",614330,2012-08-31,Ben Affleck
15,tt1605783,2016-09-14,2016-09-14,Original Screenplay,Midnight in Paris,https://www.imdb.com/title/tt1605783/,movie,7.7,94,2011,"Comedy, Fantasy, Romance",424037,2011-05-11,Woody Allen
16,tt1033575,2016-09-14,2016-09-14,Adapted Screenplay,The Descendants,https://www.imdb.com/title/tt1033575/,movie,7.3,115,2011,"Comedy, Drama",242701,2011-09-02,Alexander Payne
17,tt1504320,2016-09-14,2016-09-14,Original Screenplay,The King's Speech,https://www.imdb.com/title/tt1504320/,movie,8.0,118,2010,"Biography, Drama, History",680099,2010-09-06,Tom Hooper
18,tt1285016,2016-09-14,2016-09-14,Adapted Screenplay,The Social Network,https://www.imdb.com/title/tt1285016/,movie,7.8,120,2010,"Biography, Drama",700241,2010-09-24,David Fincher
19,tt0887912,2016-09-14,2016-09-14,Original Screenplay,The Hurt Locker,https://www.imdb.com/title/tt0887912/,movie,7.5,131,2008,"Drama, Thriller, War",451915,2008-09-04,Kathryn Bigelow
20,tt0929632,2016-09-14,2016-09-14,Adapted Screenplay,Precious,https://www.imdb.com/title/tt0929632/,movie,7.3,110,2009,Drama,111347,2009-01-16,Lee Daniels
21,tt1013753,2016-09-14,2016-09-14,Original Screenplay,Milk,https://www.imdb.com/title/tt1013753/,movie,7.5,128,2008,"Biography, Drama",173497,2008-10-28,Gus Van Sant
22,tt1010048,2016-09-14,2016-09-14,Adapted Screenplay,Slumdog Millionaire,https://www.imdb.com/title/tt1010048/,movie,8.0,120,2008,"Crime, Drama, Romance",844007,2008-08-30,"Loveleen Tandan, Danny Boyle"
23,tt0467406,2016-09-14,2016-09-14,Original Screenplay,Juno,https://www.imdb.com/title/tt0467406/,movie,7.5,96,2007,"Comedy, Drama",522886,2007-09-01,Jason Reitman
24,tt0477348,2016-09-14,2016-09-14,Adapted Screenplay,No Country for Old Men,https://www.imdb.com/title/tt0477348/,movie,8.2,122,2007,"Crime, Drama, Thriller",966695,2007-05-19,"Ethan Coen, Joel Coen"
25,tt0449059,2016-09-14,2016-09-14,Original Screenplay,Little Miss Sunshine,https://www.imdb.com/title/tt0449059/,movie,7.8,101,2006,"Comedy, Drama",480962,2006-01-20,"Jonathan Dayton, Valerie Faris"
26,tt0407887,2016-09-14,2016-09-14,Adapted Screenplay,The Departed,https://www.imdb.com/title/tt0407887/,movie,8.5,151,2006,"Crime, Drama, Thriller",1316796,2006-09-26,Martin Scorsese
