Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt9770150,2021-07-23,2021-07-23,,Nomadland,https://www.imdb.com/title/tt9770150/,movie,7.3,107,2020,Drama,160270,2020-09-11,Chloé Zhao
2,tt6751668,2020-06-05,2020-06-05,,Gisaengchung,https://www.imdb.com/title/tt6751668/,movie,8.5,132,2019,"Drama, Thriller",788785,2019-05-21,Bong Joon Ho
3,tt6966692,2019-02-25,2019-02-25,,Green Book,https://www.imdb.com/title/tt6966692/,movie,8.2,130,2018,"Biography, Comedy, Drama, Music",486565,2018-09-11,Peter Farrelly
4,tt5580390,2018-05-18,2018-05-18,,The Shape of Water,https://www.imdb.com/title/tt5580390/,movie,7.3,123,2017,"Drama, Fantasy, Romance",419023,2017-08-31,Guillermo del Toro
5,tt4975722,2017-08-23,2017-08-23,,Moonlight,https://www.imdb.com/title/tt4975722/,movie,7.4,111,2016,Drama,307808,2016-09-02,Barry Jenkins
6,tt1895587,2017-08-23,2017-08-23,,Spotlight,https://www.imdb.com/title/tt1895587/,movie,8.1,129,2015,"Biography, Crime, Drama",468859,2015-09-03,Tom McCarthy
7,tt2562232,2015-02-27,2015-02-27,,Birdman or (The Unexpected Virtue of Ignorance),https://www.imdb.com/title/tt2562232/,movie,7.7,119,2014,"Comedy, Drama",628801,2014-08-27,Alejandro G. Iñárritu
8,tt2024544,2015-02-27,2015-02-27,,12 Years a Slave,https://www.imdb.com/title/tt2024544/,movie,8.1,134,2013,"Biography, Drama, History",698930,2013-08-30,Steve McQueen
9,tt1024648,2013-02-25,2013-02-25,,Argo,https://www.imdb.com/title/tt1024648/,movie,7.7,120,2012,"Biography, Drama, Thriller",614330,2012-08-31,Ben Affleck
10,tt1655442,2012-07-19,2012-07-19,,The Artist,https://www.imdb.com/title/tt1655442/,movie,7.9,100,2011,"Comedy, Drama, Romance",241798,2011-05-15,Michel Hazanavicius
11,tt1504320,2012-07-19,2012-07-19,,The King's Speech,https://www.imdb.com/title/tt1504320/,movie,8.0,118,2010,"Biography, Drama, History",680099,2010-09-06,Tom Hooper
12,tt0887912,2012-07-19,2012-07-19,,The Hurt Locker,https://www.imdb.com/title/tt0887912/,movie,7.5,131,2008,"Drama, Thriller, War",451915,2008-09-04,Kathryn Bigelow
13,tt1010048,2012-07-19,2012-07-19,,Slumdog Millionaire,https://www.imdb.com/title/tt1010048/,movie,8.0,120,2008,"Crime, Drama, Romance",844007,2008-08-30,"Loveleen Tandan, Danny Boyle"
14,tt0477348,2012-07-19,2012-07-19,,No Country for Old Men,https://www.imdb.com/title/tt0477348/,movie,8.2,122,2007,"Crime, Drama, Thriller",966695,2007-05-19,"Joel Coen, Ethan Coen"
15,tt0407887,2012-07-19,2012-07-19,,The Departed,https://www.imdb.com/title/tt0407887/,movie,8.5,151,2006,"Crime, Drama, Thriller",1316796,2006-09-26,Martin Scorsese
16,tt0375679,2012-07-19,2012-07-19,,Crash,https://www.imdb.com/title/tt0375679/,movie,7.8,112,2004,"Crime, Drama, Thriller",436964,2004-09-10,Paul Haggis
17,tt0405159,2012-07-19,2012-07-19,,Million Dollar Baby,https://www.imdb.com/title/tt0405159/,movie,8.1,132,2004,"Drama, Sport",686175,2004-12-05,Clint Eastwood
18,tt0167260,2012-07-19,2012-07-19,,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,movie,9.0,201,2003,"Action, Adventure, Drama, Fantasy",1833165,2003-12-01,Peter Jackson
19,tt0299658,2012-07-19,2012-07-19,,Chicago,https://www.imdb.com/title/tt0299658/,movie,7.2,113,2002,"Comedy, Crime, Musical",230972,2002-12-10,Rob Marshall
20,tt0268978,2012-07-19,2012-07-19,,A Beautiful Mind,https://www.imdb.com/title/tt0268978/,movie,8.2,135,2001,"Biography, Drama",929190,2001-12-13,Ron Howard
21,tt0172495,2012-07-19,2012-07-19,,Gladiator,https://www.imdb.com/title/tt0172495/,movie,8.5,155,2000,"Action, Adventure, Drama",1490127,2000-05-01,Ridley Scott
22,tt0169547,2012-07-19,2012-07-19,,American Beauty,https://www.imdb.com/title/tt0169547/,movie,8.4,122,1999,Drama,1150534,1999-09-08,Sam Mendes
