Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0057193,2017-11-19,2017-11-19,,It's a Mad Mad Mad Mad World,https://www.imdb.com/title/tt0057193/,movie,7.5,210,1963,"Action, Adventure, Comedy, Crime",42369,1963-11-07,Stanley Kramer
2,tt0058150,2017-11-19,2017-11-19,,Goldfinger,https://www.imdb.com/title/tt0058150/,movie,7.7,110,1964,"Action, Adventure, Thriller",191297,1964-09-17,Guy Hamilton
3,tt0059243,2017-11-19,2017-11-19,,The Great Race,https://www.imdb.com/title/tt0059243/,movie,7.2,160,1965,"Action, Adventure, Comedy, Family, Romance, Sport, Western",18213,1965-07-01,Blake Edwards
4,tt0060472,2017-11-19,2017-11-19,,Grand Prix,https://www.imdb.com/title/tt0060472/,movie,7.2,176,1966,"Drama, Sport",9570,1966-12-21,John Frankenheimer
5,tt0061578,2017-11-19,2017-11-19,,The Dirty Dozen,https://www.imdb.com/title/tt0061578/,movie,7.7,150,1967,"Action, Adventure, War",74104,1967-06-15,Robert Aldrich
6,tt0073113,2017-11-19,2017-11-19,,The Hindenburg,https://www.imdb.com/title/tt0073113/,movie,6.2,125,1975,"Adventure, Drama, History, Thriller",6105,1975-12-25,Robert Wise
7,tt0075860,2017-11-19,2017-11-19,,Close Encounters of the Third Kind,https://www.imdb.com/title/tt0075860/,movie,7.6,138,1977,"Drama, Sci-Fi",202587,1977-11-15,Steven Spielberg
8,tt0078872,2017-11-19,2017-11-19,,The Black Stallion,https://www.imdb.com/title/tt0078872/,movie,7.4,118,1979,"Adventure, Family, Sport",12984,1979-10-13,Carroll Ballard
9,tt0082971,2017-11-19,2017-11-19,,Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,movie,8.4,115,1981,"Action, Adventure",961359,1981-06-12,Steven Spielberg
10,tt0083866,2017-11-19,2017-11-19,,E.T. the Extra-Terrestrial,https://www.imdb.com/title/tt0083866/,movie,7.9,115,1982,"Adventure, Family, Sci-Fi",408881,1982-05-26,Steven Spielberg
11,tt0086197,2017-11-19,2017-11-19,,The Right Stuff,https://www.imdb.com/title/tt0086197/,movie,7.8,193,1983,"Adventure, Biography, Drama, History",61892,1983-10-21,Philip Kaufman
12,tt0088007,2017-11-19,2017-11-19,,The River,https://www.imdb.com/title/tt0088007/,movie,6.3,124,1984,Drama,7114,1984-12-19,Mark Rydell
13,tt0088763,2017-11-19,2017-11-19,,Back to the Future,https://www.imdb.com/title/tt0088763/,movie,8.5,116,1985,"Adventure, Comedy, Sci-Fi",1195413,1985-07-03,Robert Zemeckis
14,tt0090605,2017-11-19,2017-11-19,,Aliens,https://www.imdb.com/title/tt0090605/,movie,8.4,137,1986,"Action, Adventure, Sci-Fi, Thriller",714998,1986-07-14,James Cameron
15,tt0093870,2017-11-19,2017-11-19,,RoboCop,https://www.imdb.com/title/tt0093870/,movie,7.6,102,1987,"Action, Crime, Sci-Fi, Thriller",259350,1987-07-17,Paul Verhoeven
16,tt0097576,2017-11-19,2017-11-19,,Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/,movie,8.2,127,1989,"Action, Adventure",751964,1989-05-24,Steven Spielberg
17,tt0099810,2017-11-19,2017-11-19,,The Hunt for Red October,https://www.imdb.com/title/tt0099810/,movie,7.5,135,1990,"Action, Adventure, Thriller",200931,1990-03-02,John McTiernan
18,tt0103064,2017-11-19,2017-11-19,,Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/,movie,8.6,137,1991,"Action, Sci-Fi",1092749,1991-07-01,James Cameron
19,tt0103874,2017-11-19,2017-11-19,,Dracula,https://www.imdb.com/title/tt0103874/,movie,7.4,128,1992,"Drama, Fantasy, Horror, Romance",218760,1992-11-10,Francis Ford Coppola
20,tt0107290,2017-11-19,2017-11-19,,Jurassic Park,https://www.imdb.com/title/tt0107290/,movie,8.2,127,1993,"Action, Adventure, Sci-Fi, Thriller",983369,1993-06-09,Steven Spielberg
21,tt0111257,2017-11-19,2017-11-19,,Speed,https://www.imdb.com/title/tt0111257/,movie,7.3,116,1994,"Action, Adventure, Thriller",364376,1994-06-07,Jan de Bont
22,tt0112573,2017-11-19,2017-11-19,,Braveheart,https://www.imdb.com/title/tt0112573/,movie,8.4,178,1995,"Biography, Drama, History, War",1034096,1995-05-18,Mel Gibson
23,tt0116409,2017-11-19,2017-11-19,,The Ghost and the Darkness,https://www.imdb.com/title/tt0116409/,movie,6.8,110,1996,"Adventure, Drama, Thriller",62700,1996-10-03,Stephen Hopkins
24,tt0120338,2017-11-19,2017-11-19,,Titanic,https://www.imdb.com/title/tt0120338/,movie,7.9,194,1997,"Drama, Romance",1165326,1997-11-01,James Cameron
25,tt0120815,2017-11-19,2017-11-19,,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,movie,8.6,169,1998,"Drama, War",1381765,1998-07-21,Steven Spielberg
26,tt0133093,2017-11-19,2017-11-19,,The Matrix,https://www.imdb.com/title/tt0133093/,movie,8.7,136,1999,"Action, Sci-Fi",1900132,1999-03-24,"Lilly Wachowski, Lana Wachowski"
27,tt0141926,2017-11-19,2017-11-19,,U-571,https://www.imdb.com/title/tt0141926/,movie,6.6,116,2000,"Action, War",82908,2000-04-17,Jonathan Mostow
28,tt0213149,2017-11-19,2017-11-19,,Pearl Harbor,https://www.imdb.com/title/tt0213149/,movie,6.2,183,2001,"Action, Drama, History, Romance, War",333288,2001-05-21,Michael Bay
29,tt0167261,2017-11-19,2017-11-19,,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,movie,8.8,179,2002,"Action, Adventure, Drama, Fantasy",1655306,2002-12-05,Peter Jackson
30,tt0311113,2017-11-19,2017-11-19,,Master and Commander: The Far Side of the World,https://www.imdb.com/title/tt0311113/,movie,7.4,138,2003,"Action, Adventure, Drama, War",222462,2003-11-14,Peter Weir
31,tt0317705,2017-11-19,2017-11-19,,The Incredibles,https://www.imdb.com/title/tt0317705/,movie,8.0,115,2004,"Animation, Action, Adventure, Family",733589,2004-10-27,Brad Bird
32,tt0360717,2017-11-19,2017-11-19,,King Kong,https://www.imdb.com/title/tt0360717/,movie,7.2,187,2005,"Action, Adventure, Drama, Romance",423613,2005-12-05,Peter Jackson
33,tt0498380,2017-11-19,2017-11-19,,Letters from Iwo Jima,https://www.imdb.com/title/tt0498380/,movie,7.9,141,2006,"Action, Adventure, Drama, History, War",163365,2006-11-15,Clint Eastwood
34,tt0440963,2017-11-19,2017-11-19,,The Bourne Ultimatum,https://www.imdb.com/title/tt0440963/,movie,8.0,115,2007,"Action, Mystery, Thriller",634750,2007-07-25,Paul Greengrass
35,tt0468569,2017-11-19,2017-11-19,,The Dark Knight,https://www.imdb.com/title/tt0468569/,movie,9.0,152,2008,"Action, Crime, Drama, Thriller",2631502,2008-07-14,Christopher Nolan
36,tt0887912,2017-11-19,2017-11-19,,The Hurt Locker,https://www.imdb.com/title/tt0887912/,movie,7.5,131,2008,"Drama, Thriller, War",451915,2008-09-04,Kathryn Bigelow
37,tt1375666,2017-11-19,2017-11-19,,Inception,https://www.imdb.com/title/tt1375666/,movie,8.8,148,2010,"Action, Adventure, Sci-Fi, Thriller",2331830,2010-07-08,Christopher Nolan
38,tt0970179,2017-11-19,2017-11-19,,Hugo,https://www.imdb.com/title/tt0970179/,movie,7.5,126,2011,"Adventure, Drama, Family, Fantasy, Mystery",323577,2011-10-10,Martin Scorsese
39,tt1074638,2017-11-19,2017-11-19,,Skyfall,https://www.imdb.com/title/tt1074638/,movie,7.8,143,2012,"Action, Adventure, Thriller",696079,2012-10-23,Sam Mendes
40,tt1790885,2017-11-19,2017-11-19,,Zero Dark Thirty,https://www.imdb.com/title/tt1790885/,movie,7.4,157,2012,"Drama, History, Thriller, War",301419,2012-12-10,Kathryn Bigelow
41,tt1454468,2017-11-19,2017-11-19,,Gravity,https://www.imdb.com/title/tt1454468/,movie,7.7,91,2013,"Drama, Sci-Fi, Thriller",824114,2013-08-28,Alfonso Cuarón
42,tt2179136,2017-11-19,2017-11-19,,American Sniper,https://www.imdb.com/title/tt2179136/,movie,7.3,133,2014,"Action, Biography, Drama, War",487411,2014-11-11,Clint Eastwood
43,tt1392190,2017-11-19,2017-11-19,,Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,movie,8.1,120,2015,"Action, Adventure, Sci-Fi, Thriller",996149,2015-05-07,George Miller
44,tt2543164,2017-11-19,2017-11-19,,Arrival,https://www.imdb.com/title/tt2543164/,movie,7.9,116,2016,"Drama, Mystery, Sci-Fi",690068,2016-09-01,Denis Villeneuve
45,tt5013056,2018-03-05,2018-03-05,,Dunkirk,https://www.imdb.com/title/tt5013056/,movie,7.8,106,2017,"Action, Drama, History, Thriller, War",653693,2017-07-13,Christopher Nolan
46,tt1727824,2020-08-22,2020-08-22,,Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/,movie,7.9,134,2018,"Biography, Drama, Music",536011,2018-10-23,Bryan Singer
47,tt1950186,2020-08-22,2020-08-22,,Ford v Ferrari,https://www.imdb.com/title/tt1950186/,movie,8.1,152,2019,"Action, Biography, Drama, Sport",389321,2019-08-30,James Mangold
