Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt6543652,2018-06-16,2018-06-16,,Zimna wojna,https://www.imdb.com/title/tt6543652/,movie,7.5,89,2018,"Drama, Music, Romance",57379,2018-05-10,Pawel Pawlikowski
2,tt5592248,2018-06-16,2018-06-16,,The Beguiled,https://www.imdb.com/title/tt5592248/,movie,6.3,93,2017,"Drama, Thriller, War",58031,2017-05-24,Sofia Coppola
3,tt4714782,2018-06-16,2018-06-16,,Personal Shopper,https://www.imdb.com/title/tt4714782/,movie,6.1,105,2016,"Mystery, Thriller",40702,2016-05-17,Olivier Assayas
4,tt4936450,2018-06-16,2018-06-16,,Bacalaureat,https://www.imdb.com/title/tt4936450/,movie,7.3,128,2016,"Crime, Drama",13829,2016-05-19,Cristian Mungiu
5,tt3508840,2018-06-16,2018-06-16,,Cike Nie Yin Niang,https://www.imdb.com/title/tt3508840/,movie,6.3,105,2015,"Action, Drama, History",17041,2015-05-21,Hsiao-Hsien Hou
6,tt1100089,2018-06-16,2018-06-16,,Foxcatcher,https://www.imdb.com/title/tt1100089/,movie,7.0,134,2014,"Biography, Drama, History, Sport",143368,2014-05-19,Bennett Miller
7,tt2852376,2018-06-16,2018-06-16,,Heli,https://www.imdb.com/title/tt2852376/,movie,6.8,105,2013,"Crime, Drama, Romance, Thriller",5166,2013-05-16,Amat Escalante
8,tt1754367,2018-06-16,2018-06-16,,Post Tenebras Lux,https://www.imdb.com/title/tt1754367/,movie,6.5,115,2012,Drama,5673,2012-05-24,Carlos Reygadas
9,tt0780504,2018-06-16,2018-06-16,,Drive,https://www.imdb.com/title/tt0780504/,movie,7.8,100,2011,"Action, Drama",637104,2011-05-20,Nicolas Winding Refn
10,tt1451762,2018-06-16,2018-06-16,,Tournée,https://www.imdb.com/title/tt1451762/,movie,6.5,111,2010,"Comedy, Drama",2593,2010-05-13,Mathieu Amalric
11,tt1423592,2018-06-16,2018-06-16,,Kinatay,https://www.imdb.com/title/tt1423592/,movie,6.6,105,2009,"Crime, Drama, Horror, Thriller",1757,2009-05-17,Brillante Mendoza
12,tt1233381,2018-06-16,2018-06-16,,Üç Maymun,https://www.imdb.com/title/tt1233381/,movie,7.3,109,2008,Drama,21848,2008-05-16,Nuri Bilge Ceylan
13,tt0401383,2018-06-16,2018-06-16,,Le scaphandre et le papillon,https://www.imdb.com/title/tt0401383/,movie,8.0,112,2007,"Biography, Drama",107961,2007-05-22,Julian Schnabel
14,tt0449467,2018-06-16,2018-06-16,,Babel,https://www.imdb.com/title/tt0449467/,movie,7.5,143,2006,Drama,303731,2006-05-23,Alejandro G. Iñárritu
15,tt0387898,2018-06-16,2018-06-16,,Caché,https://www.imdb.com/title/tt0387898/,movie,7.3,117,2005,"Drama, Mystery, Thriller",80757,2005-05-14,Michael Haneke
16,tt0400420,2018-06-16,2018-06-16,,Exils,https://www.imdb.com/title/tt0400420/,movie,6.7,104,2004,"Adventure, Drama, Music",3098,2004-05-19,Tony Gatlif
17,tt0363589,2018-06-16,2018-06-16,,Elephant,https://www.imdb.com/title/tt0363589/,movie,7.1,81,2003,"Crime, Drama, Thriller",92119,2003-05-18,Gus Van Sant
18,tt0272338,2018-06-16,2018-06-16,,Punch-Drunk Love,https://www.imdb.com/title/tt0272338/,movie,7.3,95,2002,"Comedy, Drama, Romance, Thriller",165801,2002-05-19,Paul Thomas Anderson
19,tt0317234,2018-06-16,2018-06-16,,Chihwaseon,https://www.imdb.com/title/tt0317234/,movie,7.2,120,2002,"Biography, Drama, History",2731,2002-05-10,Im Kwon-taek
20,tt0166924,2018-06-16,2018-06-16,,Mulholland Dr.,https://www.imdb.com/title/tt0166924/,movie,7.9,147,2001,"Drama, Mystery, Thriller",355325,2001-05-16,David Lynch
21,tt0243133,2018-06-16,2018-06-16,,The Man Who Wasn't There,https://www.imdb.com/title/tt0243133/,movie,7.5,116,2001,"Crime, Drama",110142,2001-05-13,Joel Coen
22,tt0244316,2018-06-16,2018-06-16,,Yi yi,https://www.imdb.com/title/tt0244316/,movie,8.1,173,2000,"Drama, Romance",24777,2000-05-15,Edward Yang
23,tt0185125,2018-06-16,2018-06-16,,Todo sobre mi madre,https://www.imdb.com/title/tt0185125/,movie,7.8,101,1999,Drama,97381,1999-04-08,Pedro Almodóvar
24,tt0120706,2018-06-16,2018-06-16,,The General,https://www.imdb.com/title/tt0120706/,movie,7.2,124,1998,"Biography, Crime, Drama, Thriller",8843,1998-05-19,John Boorman
25,tt0118845,2018-06-16,2018-06-16,,Chun gwong cha sit,https://www.imdb.com/title/tt0118845/,movie,7.7,96,1997,"Drama, Romance",29932,1997-05-17,Kar-Wai Wong
26,tt0116282,2018-06-16,2018-06-16,,Fargo,https://www.imdb.com/title/tt0116282/,movie,8.1,98,1996,"Crime, Thriller",676212,1996-03-08,"Joel Coen, Ethan Coen"
27,tt0113247,2018-06-16,2018-06-16,,La haine,https://www.imdb.com/title/tt0113247/,movie,8.1,98,1995,"Crime, Drama",173761,1995-05-27,Mathieu Kassovitz
28,tt0109382,2018-06-16,2018-06-16,,Caro diario,https://www.imdb.com/title/tt0109382/,movie,7.2,100,1993,"Biography, Comedy, Drama",8178,1993-11-12,Nanni Moretti
29,tt0107653,2018-06-16,2018-06-16,,Naked,https://www.imdb.com/title/tt0107653/,movie,7.7,131,1993,"Comedy, Drama",39897,1993-05-14,Mike Leigh
30,tt0105151,2018-06-16,2018-06-16,,The Player,https://www.imdb.com/title/tt0105151/,movie,7.5,124,1992,"Comedy, Crime, Drama, Thriller",61179,1992-04-03,Robert Altman
31,tt0101410,2018-06-16,2018-06-16,,Barton Fink,https://www.imdb.com/title/tt0101410/,movie,7.6,116,1991,"Comedy, Drama, Thriller",122429,1991-05-18,"Joel Coen, Ethan Coen"
32,tt0100757,2018-06-16,2018-06-16,,Taksi-blyuz,https://www.imdb.com/title/tt0100757/,movie,7.4,110,1990,"Comedy, Drama",1849,1990-05-11,Pavel Lungin
